stock,price,ret
005380,13800,-2.8
005380,13600,-1.4
005380,13900,2.2
005380,12900,-7.2
005380,12800,-0.8
005380,12700,-0.8
005380,12600,-0.8
005380,12500,-0.8
005380,12700,1.6
005380,12700,0.0
005380,12500,-1.6
005380,13200,5.6
005380,12500,-5.3
005380,13000,4.0
005380,13400,3.1
005380,15000,11.9
005380,15300,2.0
005380,14700,-3.9
005380,13700,-6.8
005380,14400,5.1
005380,14700,2.1
005380,14000,-4.8
005380,13600,-2.9
005380,13800,1.5
005380,13600,-1.4
005380,13300,-2.2
005380,13600,2.3
005380,13400,-1.5
005380,13400,0.0
005380,13700,2.2
005380,13900,1.5
005380,14000,0.7
005380,14300,2.1
005380,15200,6.3
005380,14000,-7.9
005380,13800,-1.4
005380,13600,-1.4
005380,13350,-1.8
005380,13300,-0.4
005380,13100,-1.5
005380,12950,-1.2
005380,12850,-0.8
005380,12500,-2.7
005380,12900,3.2
005380,13000,0.8
005380,13400,3.1
005380,13500,0.8
005380,13100,-3.0
005380,13000,-0.8
005380,12700,-2.3
005380,12150,0.4
005380,11800,-2.9
005380,11450,-3.0
005380,11500,0.4
005380,11750,2.2
005380,13150,11.9
005380,14700,11.8
005380,15800,7.5
005380,14700,-7.0
005380,14700,0.0
005380,15500,5.4
005380,14900,-3.9
005380,15300,2.7
005380,16200,5.9
005380,18100,11.7
005380,17600,-2.8
005380,17300,-1.7
005380,17000,-1.7
005380,16450,-3.2
005380,16000,-2.7
005380,15200,-5.0
005380,15600,2.6
005380,15400,-1.3
005380,16000,3.9
005380,17000,6.2
005380,16400,-3.5
005380,16900,3.0
005380,16900,0.0
005380,16900,0.0
005380,16300,-3.6
005380,16400,0.6
005380,16400,0.0
005380,15700,-4.3
005380,15350,-2.2
005380,15400,0.3
005380,15000,-2.6
005380,15300,2.0
005380,17100,11.8
005380,17500,2.3
005380,17050,-2.6
005380,17400,2.0
005380,16800,-3.4
005380,16800,0.0
005380,16500,-1.8
005380,16600,0.6
005380,16700,0.6
005380,16700,0.0
005380,17200,3.0
005380,17400,1.2
005380,16700,-4.0
005380,16000,-4.2
005380,16400,2.5
005380,17100,4.3
005380,19150,12.0
005380,21400,11.8
005380,21500,0.5
005380,20000,-7.0
005380,19800,-1.0
005380,20800,5.0
005380,19100,-8.2
005380,18550,-2.9
005380,18500,-0.3
005380,18000,-2.7
005380,17900,-0.6
005380,17700,-1.1
005380,19200,8.5
005380,18800,-2.1
005380,19600,4.3
005380,19600,0.0
005380,21400,9.2
005380,23100,7.9
005380,23200,0.4
005380,25300,9.0
005380,25000,-1.2
005380,23500,-6.0
005380,23800,1.3
005380,23000,-3.4
005380,22600,-1.7
005380,21900,-3.1
005380,22300,1.8
005380,21900,-1.8
005380,21900,0.0
005380,21500,-1.8
005380,21350,-0.7
005380,19300,-9.6
005380,18500,-4.2
005380,18300,-1.1
005380,20200,10.4
005380,19350,-4.2
005380,20100,3.9
005380,20000,-0.5
005380,19300,-3.5
005380,18800,-2.6
005380,18450,-1.9
005380,18750,1.6
005380,18300,-2.4
005380,17000,-7.1
005380,17200,1.2
005380,16800,-2.3
005380,17300,3.0
005380,16700,-3.5
005380,16100,-3.6
005380,16600,3.1
005380,16650,0.3
005380,16900,1.5
005380,16500,-2.4
005380,16900,2.4
005380,17300,2.4
005380,17150,-0.9
005380,17150,0.0
005380,17600,2.6
005380,18600,5.7
005380,18000,-3.2
005380,18100,0.6
005380,18100,0.0
005380,18000,-0.6
005380,17850,-0.8
005380,17800,-0.3
005380,18000,1.1
005380,17300,-3.9
005380,17900,3.5
005380,18450,3.1
005380,18200,-1.4
005380,18050,-0.8
005380,18200,0.8
005380,19000,4.4
005380,19650,3.4
005380,19950,1.5
005380,19650,-1.5
005380,21700,10.4
005380,22200,2.3
005380,24750,11.5
005380,24500,-1.0
005380,24350,-0.6
005380,24950,2.5
005380,24500,-1.8
005380,24050,-1.8
005380,23900,-0.6
005380,25400,6.3
005380,27200,7.1
005380,22600,7.6
005380,22700,0.4
005380,21700,-4.4
005380,21500,-0.9
005380,21100,-1.9
005380,20800,-1.4
005380,22400,7.7
005380,21800,-2.7
005380,20200,-7.3
005380,19850,-1.7
005380,19950,0.5
005380,21000,5.3
005380,23500,11.9
005380,22950,-2.3
005380,22000,-4.1
005380,20500,-6.8
005380,20900,2.0
005380,19700,-5.7
005380,18900,-4.1
005380,19700,4.2
005380,20500,4.1
005380,20700,1.0
005380,20000,-3.4
005380,20050,0.2
005380,19800,-1.2
005380,19800,0.0
005380,19800,0.0
005380,19900,0.5
005380,20100,1.0
005380,20000,-0.5
005380,20000,0.0
005380,20750,3.8
005380,20300,-2.2
005380,22400,10.3
005380,23550,5.1
005380,25500,8.3
005380,23400,-8.2
005380,25200,7.7
005380,24550,-2.6
005380,23100,-5.9
005380,21900,-5.2
005380,23500,7.3
005380,23500,0.0
005380,23500,0.0
005380,27000,14.9
005380,28250,4.6
005380,28000,-0.9
005380,26800,-4.3
005380,26500,-1.1
005380,27800,4.9
005380,27450,-1.3
005380,27450,0.0
005380,29400,7.1
005380,31550,7.3
005380,31400,-0.5
005380,32000,1.9
005380,32300,0.9
005380,32800,1.6
005380,33400,1.8
005380,32000,-4.2
005380,30100,-5.9
005380,28500,-5.3
005380,29100,2.1
005380,31400,7.9
005380,31600,0.6
005380,30700,-2.8
005380,30100,-2.0
005380,30300,0.7
005380,27200,-10.2
005380,27900,2.6
005380,31500,12.9
005380,30500,-3.2
005380,35050,14.9
005380,37600,7.3
005380,42500,13.0
005380,39700,-6.6
005380,39850,0.4
005380,36700,-7.9
005380,36500,-0.5
005380,36400,-0.3
005380,37300,2.5
005380,37000,-0.8
005380,36750,-0.7
005380,35750,-2.7
005380,34500,-3.5
005380,34900,1.2
005380,33950,-2.7
005380,34600,1.9
005380,35700,3.2
005380,37600,5.3
005380,37950,0.9
005380,38600,1.7
005380,37400,-3.1
005380,38100,1.9
005380,37200,-2.4
005380,36600,-1.6
005380,35500,-3.0
005380,33600,-5.4
005380,33500,-0.3
005380,36500,9.0
005380,35600,-2.5
005380,34500,-3.1
005380,34600,0.3
005380,35200,1.7
005380,35400,0.6
005380,34000,-4.0
005380,30900,-9.1
005380,29100,-5.8
005380,30900,6.2
005380,29600,-4.2
005380,29950,1.2
005380,29000,-3.2
005380,29250,0.9
005380,28550,-2.4
005380,26800,-6.1
005380,25150,-6.2
005380,24600,-2.2
005380,24300,-1.2
005380,21700,-10.7
005380,24300,12.0
005380,26600,9.5
005380,25300,-4.9
005380,24700,-2.4
005380,24800,0.4
005380,23950,-3.4
005380,23900,-0.2
005380,23600,-1.3
005380,22500,-4.7
005380,22300,-0.9
005380,23300,4.5
005380,22150,-4.9
005380,21450,-3.2
005380,20400,-4.9
005380,20600,1.0
005380,20200,-1.9
005380,21200,5.0
005380,21100,-0.5
005380,23700,12.3
005380,24500,3.4
005380,24300,-0.8
005380,26650,9.7
005380,25000,3.3
005380,23600,-5.6
005380,24400,3.4
005380,23500,-3.7
005380,23900,1.7
005380,24800,3.8
005380,24400,-1.6
005380,24400,0.0
005380,24500,0.4
005380,26200,6.9
005380,26500,1.2
005380,25300,-4.5
005380,24400,-3.6
005380,23850,-2.2
005380,22500,-5.7
005380,21800,-3.1
005380,22100,1.4
